bp	contigs	file name	bin
2967774	23	Methylophilaceae-55_Ga0081637.fasta	Ga0081637
2326848	86	Methylophilus_methylotrophus-129-2_Ga0081618.fasta	Ga0081618
3326520	8	Bacteriovorax-63_Ga0081639.fasta	Ga0081639
4088719	216	Methylosarcina_lacus-69_Ga0081643.fasta	Ga0081643
3008402	444	Acidovora-69x_Ga0081644.fasta	Ga0081644
3778972	69	Bacteroidetes-49_Ga0081628.fasta	Ga0081628
2997616	408	Methylotenera_mobilis-76-2_Ga0081649.fasta	Ga0081649
3699670	189	Rhodocyclaceae-49_Ga0081631.fasta	Ga0081631
2898242	16	Methylophilus_methylotrophus-79_Ga0081650.fasta	Ga0081650
2101781	342	Bacteroidetes-8_Ga0081654.fasta	Ga0081654
5601437	192	Opitutae-129_Ga0081615.fasta	Ga0081615
3161893	59	Acidovorax-127_Ga0081613.fasta	Ga0081613
3660248	250	Bacteroidetes-76_Ga0081646.fasta	Ga0081646
3820436	51	Bacteriovorax-21_Ga0081619.fasta	Ga0081619
1297884	239	Methylophilaceae-40_Ga0081624.fasta	Ga0081624
2720811	17	Acidovorax-123_Ga0081609.fasta	Ga0081609
4267963	53	Methylococcaceae-55_Ga0081636.fasta	Ga0081636
1825870	334	Methylophilaceae-8_Ga0081655.fasta	Ga0081655
4179126	86	Methylobacter_tundripaludum-129_Ga0081614.fasta	Ga0081614
1642972	290	Methylotenera_mobilis-63_Ga0081640.fasta	Ga0081640
3114216	23	Opititae-40_Ga0081625.fasta	Ga0081625
5475270	179	Methylobacter-69_Ga0081641.fasta	Ga0081641
3365557	358	Acidovorax-98_Ga0081659.fasta	Ga0081659
2457176	383	Burkholderiales-129_Ga0081616.fasta	Ga0081616
3886060	289	Bacteriovora-8x_Ga0081656.fasta	Ga0081656
2910432	222	Flavobacteriaceae-49_Ga0081632.fasta	Ga0081632
2942526	225	Methylotenera_mobilis-49_Ga0081627.fasta	Ga0081627
3417103	359	Rhodocyclaceae-127_Ga0081610.fasta	Ga0081610
2433989	207	Methylotenera_mobilis-76-1_Ga0081647.fasta	Ga0081647
3956075	253	Bacteria-21_Ga0081620.fasta	Ga0081620
2991039	114	Methylophilus_methylotrophus-129-1_Ga0081617.fasta	Ga0081617
2642420	30	Methylophilus_methylotrophus-98_Ga0081658.fasta	Ga0081658
2518206	141	Methylophilus_methylotrophus-127-1_Ga0081611.fasta	Ga0081611
2415253	221	Methylotenera_mobilis-49_Ga0081629.fasta	Ga0081629
3852197	408	Methylosarcina-21_Ga0081622.fasta	Ga0081622
3849893	206	Flavobacteriaceae-79-1_Ga0081652.fasta	Ga0081652
2910744	30	Methylophilus_methylotrophus-69_Ga0081642.fasta	Ga0081642
2768114	97	Acidovorax-79_Ga0081651.fasta	Ga0081651
1831709	445	Acidovorax-21_Ga0081621.fasta	Ga0081621
2201323	299	Methylotenera_mobilis-123_Ga0081608.fasta	Ga0081608
5166857	52	Burkholderiales-55_Ga0081635.fasta	Ga0081635
3581565	376	Bacteriovorax-49_Ga0081630.fasta	Ga0081630
3303496	260	Flavobacteriaceae-79-2_Ga0081653.fasta	Ga0081653
2619105	16	Methylophilus_methylotrophus-55_Ga0081633.fasta	Ga0081633
4687521	267	Acidovorax-75_Ga0081645.fasta	Ga0081645
4616430	106	Burkholderiales-76_Ga0081648.fasta	Ga0081648
5332215	125	Methylobacte-98r_Ga0081657.fasta	Ga0081657
2701236	226	Methylophilus_methylotrophus-127-2_Ga0081612.fasta	Ga0081612
4759652	259	Methylobacter-123_Ga0081607.fasta	Ga0081607
3910653	553	Methylococcaceae-21_Ga0081623.fasta	Ga0081623
4015963	332	Methylovulum_miyakonense-55_Ga0081638.fasta	Ga0081638
1860408	442	Methylosarcina_lacus-55_Ga0081634.fasta	Ga0081634
1627661	200	Methylophilaceae-49_Ga0081626.fasta	Ga0081626
